no,nama,kategori,alamat,kota,lat,lng,plusCode,rating,jumlahUlasan,telepon,website,foto,jamBuka,linkMaps,sumberQuery
1,Squid Coffee,Kedai Kopi,"Jl. Topaz Raya No.3, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia",Makassar,-5.1545807,119.4410442,"RCWR+5C Masale, Kota Makassar, Sulawesi Selatan, Indonesia",4.9,,+628170772777,https://www.instagram.com/squidcoffee.id?igsh=MWc3ajliZXNscWllcA==,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmydvdj2y8KgMo3IaKeL5nnNe46UsQ3ERLoFlhlhVq4pcDKyuOzJJySODKqIfgnSv8qlA_0ybnM-nrP9pGxODgp89POpHfw5Cag_kgg1nq5tQwjs5Y595BIgOkYqgbReJURq5ka=w408-h544-k-no,"Sabtu, Buka 24 jam",https://www.google.com/maps/place/Squid+Coffee/data=!4m7!3m6!1s0x2dbee357e932b365:0x1cea0d636cfd21d4!8m2!3d-5.1545807!4d119.4410442!16s%2Fg%2F11vcl67k6f!19sChIJZbMy6Vfjvi0R1CH9bGMN6hw,cafe Makassar | coffee shop Makassar
2,Postropis Coffee & Space,Kedai Kopi,"Jl. Adipura Raya No.10, Karuwisi Utara, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90232, Indonesia",Makassar,-5.1329919,119.4332702,"VC8M+R8 Karuwisi Utara, Kota Makassar, Sulawesi Selatan, Indonesia",4.8,112,,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlk_qPsjIzBw3MFzxbbCBai0A9xajgKDhv-gkmsYFDhG61qCyu9IAQGXqweqL5s7xy51gs8ux2amMvwtKe20tTlfsaNaiZ1__kZMabfb7xmoDdHRfUjBcwrLM9wRzvwXnhVCQG8bv1w9X7C=w408-h544-k-no,"Senin,07.00 hingga 22.00 | Selasa,07.00 hingga 22.00 | Rabu,07.00 hingga 22.00 | Kamis,07.00 hingga 22.00 | Jumat,07.00 hingga 22.00 | Sabtu,07.00 hingga 23.00 | Minggu,07.00 hingga 23.00",https://www.google.com/maps/place/Postropis+Coffee+%26+Space/data=!4m7!3m6!1s0x2dbefd04e2454fd1:0x7707dc1f4e0e0fb!8m2!3d-5.1329919!4d119.4332702!16s%2Fg%2F11n7p0ff_3!19sChIJ0U9F4gT9vi0R--Dg9MF9cAc,cafe Makassar | coffee shop Makassar
3,Zona Cafe,Kafe,"Jl. Ujung Pandang No.2, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90174, Indonesia",Makassar,-5.1360333,119.4048645,"VC73+HW Bulo Gading, Kota Makassar, Sulawesi Selatan, Indonesia",4.5,677,+624113623451,http://www.zonacafe.info/,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnEzg4NUC0ZhouTbZ8k39XFUv71HHGh3Tm3seU08gMj4lNTJyvvCFiEmi7YsTJmwPF2QeSkQwGvm122_bFtrPodBc6E9HiOiHTM9T08B6gWyJFlHc5OOFBokuP4uts1wzA5_eksRy_eiVE=w408-h306-k-no,"Senin,16.00 hingga 00.00 | Selasa,16.00 hingga 00.00 | Rabu,16.00 hingga 00.00 | Kamis,16.00 hingga 00.00 | Jumat,16.00 hingga 00.00 | Sabtu,16.00 hingga 00.00 | Minggu,16.00 hingga 00.00",https://www.google.com/maps/place/Zona+Cafe/data=!4m7!3m6!1s0x2dbf02b013663743:0xfbe11b7de6890173!8m2!3d-5.1360333!4d119.4048645!16s%2Fg%2F1hm23991w!19sChIJQzdmE7ACvy0RcwGJ5n0b4fs,cafe Makassar
4,Onkel John's Coffee Hasanuddin,Kedai Kopi,"Jl. Sultan Hasanuddin, Sawerigading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90115, Indonesia",Makassar,-5.1407758,119.4106093,"VC56+M6 Sawerigading, Kota Makassar, Sulawesi Selatan, Indonesia",4.8,264,+62811406279,https://instagram.com/onkeljohnscoffee?igshid=MzRlODBiNWFlZA==,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmOMqkV9ihWtV410C9tQqATOuZwOf7AZGu2pfzjy15bWPZFYOUoTMW4xU7EQK65jRsII4lOmgqQAIAKyhTysQgbeQImu66oLs4srUOIiC1gsvwTclcwW7VY9vWaq57vM95UkBll=w408-h412-k-no,"Senin,07.00 hingga 00.00 | Selasa,07.00 hingga 00.00 | Rabu,07.00 hingga 00.00 | Kamis,07.00 hingga 00.00 | Jumat,07.00 hingga 00.00 | Sabtu,07.00 hingga 00.00 | Minggu,07.00 hingga 00.00",https://www.google.com/maps/place/Onkel+John%27s+Coffee+Hasanuddin/data=!4m7!3m6!1s0x2dbf037efb202cb9:0x65e0d0cde6148ee6!8m2!3d-5.1407758!4d119.4106093!16s%2Fg%2F11t_vjh076!19sChIJuSwg-34Dvy0R5o4U5s3Q4GU,cafe Makassar | kedai kopi Makassar | coffee shop Makassar
5,Djournal Coffee - Trans Studio Makassar,Kedai Kopi,"Lobby Kuning, Jl. Metro Tj. Bunga Lower Ground, Maccini Sombala, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224, Indonesia",Makassar,-5.1592092,119.3942765,"R9RV+8P Maccini Sombala, Kota Makassar, Sulawesi Selatan, Indonesia",4.9,563,+6285399655194,https://www.ismaya.com/brands/djournal,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnFnJVe6J0P1Rgi2fKoHw-qlurZBMkENbzQIPrwGxUF-XwdmrgIN-j42tdSfoZiawQJZgbDgBSMrCGzCaLGjVAWRHbn9OIOEdZle1oPKrNEzWu-CZkbBgMgfx_sQeYjUNYaT_E=w426-h240-k-no,"Senin,10.00 hingga 22.00 | Selasa,10.00 hingga 22.00 | Rabu,10.00 hingga 22.00 | Kamis,10.00 hingga 22.00 | Jumat,10.00 hingga 22.00 | Sabtu,10.00 hingga 22.00 | Minggu,10.00 hingga 22.00",https://www.google.com/maps/place/Djournal+Coffee+-+Trans+Studio+Makassar/data=!4m7!3m6!1s0x2dbf1d001e1eefc1:0x1d6083146059db24!8m2!3d-5.1592092!4d119.3942765!16s%2Fg%2F11vsl3w58f!19sChIJwe8eHgAdvy0RJNtZYBSDYB0,cafe Makassar | coffee shop Makassar
6,THE ICON BEACH LOUNGE & CAFE,Kafe,"Citraland Point of Indonesia Cluster Sunset Quay B/7, Kota Makassar, Sulawesi Selatan, Indonesia",Makassar,-5.147356,119.395425,"V93W+35 Maccini Sombala, Kota Makassar, Sulawesi Selatan, Indonesia",4.6,1042,,https://www.instagram.com/theiconbeachlounge,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlYzNKJhZQqQXbHZtrW5roGGnStEwxb--1pjNLmekaJ9TdfOGVK4jvVEJwTDs4WSvNP99ouxWr-uW5p86B6YUV2OgnAESscpXKsSaNYh_rxpBHKplUjZH2TNx-R9WhmHT4AIPo=w408-h306-k-no,"Senin,10.00 hingga 00.00 | Selasa,10.00 hingga 00.00 | Rabu,10.00 hingga 00.00 | Kamis,10.00 hingga 00.00 | Jumat,10.00 hingga 00.00 | Sabtu,07.00 hingga 00.00 | Minggu,07.00 hingga 00.00",https://www.google.com/maps/place/THE+ICON+BEACH+LOUNGE+%26+CAFE/data=!4m7!3m6!1s0x2dbee3924b3f0631:0xd78c9fe5303d2ea1!8m2!3d-5.147356!4d119.395425!16s%2Fg%2F11smqkvtyd!19sChIJMQY_S5Ljvi0RoS49MOWfjNc,cafe Makassar | coffee shop Makassar
7,Sinrilik Cafe Makassar,Kafe,"Jl. Statistik, Tamalanrea Indah, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90245, Indonesia",Makassar,-5.1377296,119.4864977,"VF6P+WH Tamalanrea Indah, Kota Makassar, Sulawesi Selatan, Indonesia",4.8,2048,+628114097172,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmNMASH3F6ucBRqhak2fTT7rESwgXjlOfw7b3iOHvfR3AcvwX2YLSlw6UnipJsp0XFUvQi24SwjR-N6Qy1FEFQeWgisKzpSiws4-D2VegwrFzvXj2_hJ4C7qUuJho8VBZgEDK_U=w408-h314-k-no,"Senin,09.00 hingga 00.30 | Selasa,09.00 hingga 00.30 | Rabu,09.00 hingga 00.30 | Kamis,09.00 hingga 00.30 | Jumat,09.00 hingga 00.30 | Sabtu,09.00 hingga 00.30 | Minggu,09.00 hingga 00.30",https://www.google.com/maps/place/Sinrilik+Cafe+Makassar/data=!4m7!3m6!1s0x2dbefd123b7e4fd9:0x581d906c0753f683!8m2!3d-5.1377296!4d119.4864977!16s%2Fg%2F11why6p0v0!19sChIJ2U9-OxL9vi0Rg_ZTB2yQHVg,cafe Makassar
8,Cabana Coffee and Eatery,Kedai Kopi,"Jl. Aroeppala No.117, Karunrung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222, Indonesia",Makassar,-5.1753114,119.4554897,"RFF4+V5 Karunrung, Kota Makassar, Sulawesi Selatan, Indonesia",4.6,78,,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnY-4rm7H5qip4V6i7ZWdczFIPzWzKJkULM9CeMrPG-2o37MUCVJUHJXueiYT0rBxWCK6EhRXBPKzdd5LT1YdoTGhQFzb8vnHIQkuB0YYMD9TiwNUYfZa51rc2lxpYUQGNkttET=w408-h544-k-no,"Senin,10.00 hingga 22.00 | Selasa,10.00 hingga 22.00 | Rabu,10.00 hingga 22.00 | Kamis,10.00 hingga 22.00 | Jumat,10.00 hingga 22.00 | Sabtu,10.00 hingga 00.00 | Minggu,10.00 hingga 00.00",https://www.google.com/maps/place/Cabana+Coffee+and+Eatery/data=!4m7!3m6!1s0x2dbee3120afa1d6d:0xce89eb7d9a9b0662!8m2!3d-5.1753114!4d119.4554897!16s%2Fg%2F11sdxhgzgm!19sChIJbR36ChLjvi0RYgabmn3ric4,cafe Makassar | coffee shop Makassar
9,SS Coffee Space,Kedai Kopi,"Jl. Sunu No.H4, Lembo, Kec. Tallo, Kota Makassar, Sulawesi Selatan 90153, Indonesia",Makassar,-5.1246242,119.4293952,"VCGH+5Q Lembo, Kota Makassar, Sulawesi Selatan, Indonesia",4.6,826,+628114493666,https://instagram.com/sscoffeespace?utm_medium=copy_link,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnJK0FioHv-NCs8_AwhfkAVyvAfc5kP8I0WWqxAeNlOZCmWakY5oHgyDFLGzRnDZ6_Bvx5eU8MATu75lZjqFRW_9OSuTSJ766QqzjRGoiFXkfWMbbD6-XMuStU8knJo4Rb3-S0=w408-h306-k-no,"Senin,Buka 24 jam | Selasa,Buka 24 jam | Rabu,Buka 24 jam | Kamis,Buka 24 jam | Jumat,Buka 24 jam | Sabtu,Buka 24 jam | Minggu,Buka 24 jam",https://www.google.com/maps/place/SS+Coffee+Space/data=!4m7!3m6!1s0x2dbefdbf67f95e07:0x5339055c4aa7222f!8m2!3d-5.1246242!4d119.4293952!16s%2Fg%2F11fks654j1!19sChIJB175Z7_9vi0RLyKnSlwFOVM,cafe Makassar | kedai kopi Makassar | coffee shop Makassar
10,Cocospace Cafe,Kafe,"Jl. Lanto Dg. Pasewang No.39, Maricaya, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90142, Indonesia",Makassar,-5.1518531,119.4202939,"RCXC+74 Maricaya, Kota Makassar, Sulawesi Selatan, Indonesia",4.9,842,+6281356000378,https://linktr.ee/cocospacecafe,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlMFn3YpQN3F06QXgcLPaiRKc5mtOgC3BQ1vr0RhGnIVZpwrfFWUe0Sp6CQm5IjTOEknWuStlYyFPcVMTwsSXnifwUEe-QCMLX6Z_myNWiuLH1lXCgdUWeQQijQCwcTKFSVC0nhag=w408-h405-k-no,"Senin,09.30 hingga 22.00 | Selasa,09.30 hingga 22.00 | Rabu,09.30 hingga 22.00 | Kamis,09.30 hingga 22.00 | Jumat,09.30 hingga 22.00 | Sabtu,09.30 hingga 22.00 | Minggu,09.30 hingga 22.00",https://www.google.com/maps/place/Cocospace+Cafe/data=!4m7!3m6!1s0x2dbee3e369f1b4d1:0xd5f7c97690bc1a37!8m2!3d-5.1518531!4d119.4202939!16s%2Fg%2F11pzk7cfpz!19sChIJ0bTxaePjvi0RNxq8kHbJ99U,cafe Makassar | coffee shop Makassar
